Sample Name,Target Name,C§ä,,,,,,
A549-E1-N,U6,19.12081146,,,,,,
A549-E1-C,U6,20.59334373,,,,,,
A549-E1-T,U6,19.93206215,,,,,,
A549-E2-N,U6,17.67238617,,,,,,
A549-E2-C,U6,20.70998001,,,,,,
A549-E2-T,U6,20.45495796,,,,,,
A549-MOCK-N,U6,19.5024929,,,,,,
A549-MOCK-C,U6,21.28212166,,,,,,
A549-MOCK-T,U6,20.96619225,,,,,,
A549-D12-N,U6,19.42992401,,,,,,
A549-D12-C,U6,20.99393463,,,,,,
A549-D12-T,U6,21.51702881,,,,,,
A549-E1-N,U6,18.64424706,,,,,,
A549-E1-C,U6,20.61285782,,,,,,
A549-E1-T,U6,20.74357796,,,,,,
A549-E2-N,U6,19.30166435,,,,,,
A549-E2-C,U6,21.04180145,,,,,,
A549-E2-T,U6,20.65392494,,,,,,
A549-MOCK-N,U6,19.79194832,,,,,,
A549-MOCK-C,U6,21.04369545,,,,,,
A549-MOCK-T,U6,20.74572563,,,,,,
A549-D12-N,U6,20.0834465,,,,,,
A549-D12-C,U6,20.45015144,,,,,,
A549-D12-T,U6,21.27591896,,,,,,
A549-E1-N,U6,18.95952034,,,,,,
A549-E1-C,U6,20.68599892,,,,,,
A549-E1-T,U6,20.29807854,,,,,,
A549-E2-N,U6,19.85330963,,,,,,
A549-E2-C,U6,21.11606598,,,,,,
A549-E2-T,U6,20.89046478,,,,,,
A549-MOCK-N,U6,19.88088417,,,,,,
A549-MOCK-C,U6,22.92681885,,,,,,
A549-MOCK-T,U6,20.94995117,,,,,,
A549-D12-N,U6,19.72222328,,,,,,
A549-D12-C,U6,21.16410828,,,,,,
A549-D12-T,U6,21.90450478,,,,,,
A549-E1-N,GAPDH,19.56577682,,,,,,
A549-E1-C,GAPDH,17.40044594,,,,,,
A549-E1-T,GAPDH,17.59453011,,,,,,
A549-E2-N,GAPDH,19.71597862,,,,,,
A549-E2-C,GAPDH,17.41359901,,,,,,
A549-E2-T,GAPDH,17.51438904,,,,,,
A549-MOCK-N,GAPDH,20.55475616,,,,,,
A549-MOCK-C,GAPDH,17.74959755,,,,,,
A549-MOCK-T,GAPDH,17.90073395,,,,,,
A549-D12-N,GAPDH,20.10725021,,,,,,
A549-D12-C,GAPDH,17.1676445,,,,,,
A549-D12-T,GAPDH,17.69911766,,,,,,
A549-E1-N,GAPDH,19.84640121,,,,,,
A549-E1-C,GAPDH,17.04460716,,,,,,
A549-E1-T,GAPDH,17.54670334,,,,,,
A549-E2-N,GAPDH,19.87281418,,,,,,
A549-E2-C,GAPDH,17.8710804,,,,,,
A549-E2-T,GAPDH,17.88990402,,,,,,
A549-MOCK-N,GAPDH,20.54421425,,,,,,
A549-MOCK-C,GAPDH,17.75279617,,,,,,
A549-MOCK-T,GAPDH,17.5615387,,,,,,
A549-D12-N,GAPDH,20.23793411,,,,,,
A549-D12-C,GAPDH,17.21311951,,,,,,
A549-D12-T,GAPDH,17.22520256,,,,,,
A549-E1-N,GAPDH,19.83184814,,,,,,
A549-E1-C,GAPDH,17.34998131,,,,,,
A549-E1-T,GAPDH,17.36109734,,,,,,
A549-E2-N,GAPDH,19.71062279,,,,,,
A549-E2-C,GAPDH,17.24420738,,,,,,
A549-E2-T,GAPDH,17.9100647,,,,,,
A549-MOCK-N,GAPDH,20.93857384,,,,,,
A549-MOCK-C,GAPDH,17.62345314,,,,,,
A549-MOCK-T,GAPDH,17.71201324,,,,,,
A549-D12-N,GAPDH,20.09658241,,,,,,
A549-D12-C,GAPDH,17.41231728,,,,,,
A549-D12-T,GAPDH,17.25209999,,,,,,
,,,,,,,,
